#X,#CH2
#Second,#Volt
5.11E-04,2.48E-01
5.13E-04,2.64E-01
5.15E-04,2.72E-01
5.17E-04,2.80E-01
5.19E-04,2.88E-01
5.21E-04,3.04E-01
5.23E-04,3.12E-01
5.25E-04,3.20E-01
5.27E-04,3.28E-01
5.29E-04,3.44E-01
5.31E-04,3.52E-01
5.33E-04,3.60E-01
5.35E-04,3.60E-01
5.37E-04,3.76E-01
5.39E-04,3.84E-01
5.41E-04,3.92E-01
5.43E-04,3.92E-01
5.45E-04,4.00E-01
5.47E-04,4.08E-01
5.49E-04,4.16E-01
5.51E-04,4.24E-01
5.53E-04,4.32E-01
5.55E-04,4.40E-01
5.57E-04,4.48E-01
5.59E-04,4.56E-01
5.61E-04,4.64E-01
5.63E-04,4.64E-01
5.65E-04,4.72E-01
5.67E-04,4.72E-01
5.69E-04,4.80E-01
5.71E-04,4.80E-01
5.73E-04,4.88E-01
5.75E-04,4.88E-01
5.77E-04,4.96E-01
5.79E-04,4.96E-01
5.81E-04,4.96E-01
5.83E-04,4.96E-01
5.85E-04,5.04E-01
5.87E-04,5.04E-01
5.89E-04,5.04E-01
5.91E-04,5.04E-01
5.93E-04,5.04E-01
5.95E-04,5.04E-01
5.97E-04,5.04E-01
5.99E-04,5.04E-01
