#X,#CH2
#Second,#Volt
-1.02E-05,-4.00E-02
-1.01E-05,-8.79E-02
-9.99E-06,-1.36E-01
-9.89E-06,-1.76E-01
-9.80E-06,-2.24E-01
-9.69E-06,-2.64E-01
-9.59E-06,-3.04E-01
-9.49E-06,-3.36E-01
-9.39E-06,-3.68E-01
-9.29E-06,-4.00E-01
-9.20E-06,-4.32E-01
-9.09E-06,-4.48E-01
-8.99E-06,-4.72E-01
-8.89E-06,-4.88E-01
-8.79E-06,-4.96E-01
-8.69E-06,-5.04E-01
-8.60E-06,-5.04E-01
-8.50E-06,-4.96E-01
-8.39E-06,-4.88E-01
-8.29E-06,-4.80E-01
-8.19E-06,-4.64E-01
-8.09E-06,-4.40E-01
-7.99E-06,-4.16E-01
-7.90E-06,-3.92E-01
-7.79E-06,-3.52E-01
-7.69E-06,-3.20E-01
-7.60E-06,-2.80E-01
-7.50E-06,-2.48E-01
-7.40E-06,-2.00E-01
-7.30E-06,-1.60E-01
-7.20E-06,-1.04E-01
-7.10E-06,-6.40E-02
-7.00E-06,-1.60E-02
-6.90E-06,3.20E-02
-6.80E-06,7.99E-02
-6.70E-06,1.28E-01
-6.60E-06,1.76E-01
-6.50E-06,2.16E-01
-6.40E-06,2.56E-01
-6.30E-06,2.96E-01
-6.20E-06,3.36E-01
-6.10E-06,3.68E-01
-6.00E-06,4.00E-01
-5.90E-06,4.32E-01
-5.80E-06,4.56E-01
-5.70E-06,4.72E-01
-5.60E-06,4.88E-01
-5.50E-06,4.96E-01
-5.40E-06,5.04E-01
-5.30E-06,5.12E-01
-5.20E-06,5.04E-01
-5.10E-06,5.04E-01
-5.00E-06,4.88E-01
-4.90E-06,4.72E-01
-4.80E-06,4.56E-01
-4.70E-06,4.32E-01
-4.60E-06,4.08E-01
-4.50E-06,3.76E-01
-4.40E-06,3.36E-01
-4.30E-06,3.04E-01
-4.20E-06,2.64E-01
-4.10E-06,2.24E-01
-4.00E-06,1.76E-01
-3.90E-06,1.36E-01
-3.80E-06,8.79E-02
-3.70E-06,4.00E-02
-3.60E-06,-8.00E-03
-3.50E-06,-5.60E-02
-3.40E-06,-1.04E-01
-3.30E-06,-1.52E-01
-3.20E-06,-1.92E-01
-3.10E-06,-2.40E-01
-3.00E-06,-2.80E-01
-2.90E-06,-3.12E-01
-2.80E-06,-3.52E-01
-2.70E-06,-3.84E-01
-2.60E-06,-4.08E-01
-2.50E-06,-4.40E-01
-2.40E-06,-4.56E-01
-2.30E-06,-4.72E-01
-2.20E-06,-4.88E-01
-2.10E-06,-4.96E-01
-2.00E-06,-5.04E-01
-1.90E-06,-5.04E-01
-1.80E-06,-4.96E-01
-1.70E-06,-4.88E-01
-1.60E-06,-4.72E-01
-1.50E-06,-4.56E-01
-1.40E-06,-4.40E-01
-1.30E-06,-4.08E-01
-1.20E-06,-3.76E-01
-1.10E-06,-3.44E-01
-1.00E-06,-3.12E-01
-9.00E-07,-2.72E-01
-8.00E-07,-2.32E-01
-7.00E-07,-1.84E-01
-6.00E-07,-1.44E-01
-5.00E-07,-9.60E-02
-4.00E-07,-4.80E-02
-3.00E-07,0.00E+00
-2.00E-07,4.80E-02
-1.00E-07,9.60E-02
4.75E-14,1.44E-01
1.00E-07,1.84E-01
2.00E-07,2.32E-01
3.00E-07,2.72E-01
4.00E-07,3.12E-01
5.00E-07,3.44E-01
6.00E-07,3.76E-01
7.00E-07,4.16E-01
8.00E-07,4.32E-01
9.00E-07,4.56E-01
1.00E-06,4.80E-01
1.10E-06,4.96E-01
1.20E-06,4.96E-01
1.30E-06,5.04E-01
1.40E-06,5.04E-01
1.50E-06,5.04E-01
1.60E-06,4.96E-01
1.70E-06,4.88E-01
1.80E-06,4.72E-01
1.90E-06,4.48E-01
2.00E-06,4.24E-01
2.10E-06,3.92E-01
