#  Vmag     Imag      dx       dy
 26.1380  23.8520  -0.1800   0.2700
 21.3060  20.1930   0.4000   0.1500
 20.5500  19.9170  -0.6800  -0.1100
 23.7360  22.0730   0.0900  -0.2100
 22.3860  20.9870   0.3700  -0.3400
 22.7930  21.3090   0.2100  -0.5000
 23.1810  22.6390  -0.5700  -0.0100
 23.3870  22.9040  -0.8900  -0.4100
 24.2960  23.7460  -0.6200  -0.4200
 27.1130  26.0100  -0.8800  -0.2900
 21.2600  20.1350   0.2600  -0.1000
 27.0220  24.6370   0.1600  -0.1900
 24.9210  22.9820  -0.0500   0.0600
 23.5110  21.9410   0.0500  -0.1700
 21.0780  20.0440   0.1200  -0.0800
 27.8650  25.0330   0.1400   0.0800
 23.8040  22.1150  -0.0400  -0.0900
 24.0390  22.2960   0.1800   0.2000
 21.7170  20.4760  -0.0300   0.0700
 24.4890  22.6200   0.1000  -0.1000
 24.3070  22.5100  -0.0100   0.0600
 25.5730  24.8210  -0.5700  -0.1700
 21.1050  20.0260   0.1100   0.0500
 25.0650  23.1270  -0.2800   0.4300
 24.5700  22.7460  -0.2900  -0.1500
 21.8900  20.6020  -0.1500   0.1500
 23.1480  21.5740  -0.2400  -0.3200
 24.4820  22.6960  -0.0400   0.4200
 20.9330  19.8890  -0.0200  -0.2200
 26.7340  24.3730  -0.1200   0.2000
 25.6960  24.8010  -0.2600   0.0900
 23.6890  22.0400   0.1000  -0.2100
 24.2440  23.5790  -0.4300  -0.1300
 23.2990  22.8400  -0.5400  -0.1300
 25.0050  23.0410   0.0000  -0.2500
 21.2660  20.1150  -0.0800  -0.0300
 24.5130  22.7770  -0.0400   0.1500
 22.8920  21.3750  -0.1000  -0.0800
 25.8590  25.0930  -0.5600  -0.0300
 27.2050  24.5170  -0.0900   0.0900
 24.1210  22.4050   0.0100   0.1100
 22.5320  21.1430   0.0500   0.4000
 21.7380  20.5000   0.0300   0.0500
 23.5460  21.9180   0.0200  -0.2200
 26.6210  24.1770   0.0200   0.1200
 25.0480  23.1920   0.0200  -0.0700
 25.5430  24.5540  -0.0500  -0.3700
 26.9420  24.4130  -3.6800  -7.7700
 23.2280  21.6460  -0.1300   0.0000
 23.6740  23.1600  -0.2000  -0.3600
 22.3880  21.0020  -0.1800  -0.1500
 24.2950  22.4150   0.0700  -0.2800
 25.5370  23.4660   0.1200  -0.0100
 24.9730  22.9570  -0.1200   0.1100
