         8222702 function calls (7918045 primitive calls) in 51.092 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66100    0.033    0.000    0.041    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:321(pchanged)
     9783    0.032    0.000    0.032    0.000 {built-in method numpy.concatenate}
5592/3274    0.031    0.000    0.208    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2149(transform_non_affine)
   235374    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    21056    0.031    0.000    0.031    0.000 {method 'copy' of 'numpy.ndarray' objects}
      680    0.031    0.000    0.037    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6547    0.030    0.000    0.047    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:1026(update_from)
      836    0.030    0.000    0.030    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     7081    0.030    0.000    0.067    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1145(set_linestyle)
     7591    0.029    0.000    0.033    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:776(set_weight)
      744    0.028    0.000    0.029    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
     4994    0.028    0.000    0.219    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:121(__init__)
     2016    0.028    0.000    0.327    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:751(draw)
258949/256985    0.028    0.000    0.028    0.000 {built-in method builtins.len}
    32770    0.027    0.000    0.137    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
    58819    0.027    0.000    0.027    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:254(__init__)
       20    0.026    0.001    0.026    0.001 {built-in method gc.collect}
   177860    0.025    0.000    0.048    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:5090(<lambda>)
 4892/200    0.025    0.000    1.343    0.007 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:3897(parseImpl)
    22016    0.025    0.000    0.189    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:245(_recache)
