         15485407 function calls (15255153 primitive calls) in 183.199 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43904    0.044    0.000    0.151    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:116(__exit__)
    26127    0.043    0.000    0.113    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2299(__init__)
    11355    0.042    0.000    0.042    0.000 {built-in method numpy.concatenate}
    44152    0.042    0.000    0.140    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:126(invalidate)
       75    0.041    0.001    0.228    0.003 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1068(<listcomp>)
    14564    0.040    0.000    0.040    0.000 {built-in method matplotlib._path.affine_transform}
     7973    0.040    0.000    0.517    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\patches.py:728(_update_patch_transform)
     2903    0.039    0.000    2.104    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:164(draw_text)
     7065    0.039    0.000    0.183    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
    34009    0.038    0.000    0.281    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:245(_recache)
   278807    0.038    0.000    0.038    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:194(axes)
