         9811367 function calls (9663333 primitive calls) in 344.576 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9116    0.023    0.000    0.118    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1976(scale)
    18036    0.023    0.000    0.110    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2470(composite_transform_factory)
     3144    0.023    0.000    0.539    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:852(get_window_extent)
    18121    0.022    0.000    0.026    0.000 {built-in method builtins.max}
   167228    0.022    0.000    0.022    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:197(vertices)
     8136    0.022    0.000    0.031    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:812(set_size)
7164/5628    0.022    0.000    0.084    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2395(get_affine)
    28166    0.022    0.000    0.316    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:107(__enter__)
     6042    0.022    0.000    0.098    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1930(rotate_deg)
4720/4688    0.022    0.000    0.037    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:413(bounds)
     4654    0.022    0.000    0.059    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\shape_base.py:599(column_stack)
      384    0.022    0.000    1.873    0.005 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:1075(_update_ticks)
    19740    0.022    0.000    0.046    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:656(set_figure)
     2952    0.022    0.000    0.043    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:671(translated)
    16200    0.022    0.000    0.104    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\colors.py:149(to_rgba)
     4456    0.021    0.000    0.063    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backend_bases.py:718(__init__)
    26519    0.021    0.000    0.024    0.000 {built-in method _abc._abc_instancecheck}
    20076    0.021    0.000    0.180    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:2083(any)
     8640    0.021    0.000    0.233    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:1047(set)
    10244    0.020    0.000    0.681    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:170(update)
    74874    0.020    0.000    0.020    0.000 {built-in method builtins.hasattr}
 1088/608    0.020    0.000    0.229    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\offsetbox.py:423(get_extent_offsets)
