Source,CH1,CH2
Second,Volt,Volt
-0.01964,2.4,-0.052
-0.019638,2.4,-0.052
-0.019636,2.4,-0.052
-0.019634002,2.4,-0.056
-0.019632,2.4,-0.052
-0.01963,2.4,-0.052
-0.019628,2.4,-0.052
-0.019626002,2.8,-0.056
-0.019624,2.8,-0.052
-0.019622,2.8,-0.056
-0.01962,2.4,-0.056
-0.019618002,2.4,-0.056
-0.019616,2.8,-0.056
-0.019614,2.8,-0.056
-0.019612,2.8,-0.056
-0.01961,2.8,-0.056
-0.019608,2.8,-0.056
-0.019606,2.8,-0.056
-0.019604,2.8,-0.056
-0.019602,2.8,-0.056
-0.0196,2.8,-0.056
-0.019598,2.8,-0.056
-0.019596002,2.8,-0.056
-0.019594,2.8,-0.056
-0.019592,2.8,-0.056
-0.01959,2.8,-0.056
-0.019588002,2.8,-0.056
-0.019586,2.8,-0.056
-0.019584,2.8,-0.056
-0.019582,2.8,-0.056
-0.019580002,2.8,-0.056
-0.019578,2.8,-0.056
-0.019576,2.8,-0.056
-0.019574,2.8,-0.056
-0.019572002,2.8,-0.056
-0.01957,2.8,-0.056
-0.019568,2.8,-0.06
-0.019566,2.8,-0.056
-0.019564002,2.8,-0.06
-0.019562,2.8,-0.056
-0.01956,2.8,-0.06
-0.019558002,2.8,-0.06
-0.019556002,2.8,-0.06
-0.019554,2.8,-0.06
-0.019552,2.8,-0.06
-0.019550002,2.8,-0.06
-0.019548,2.8,-0.06
-0.019546,2.8,-0.06
-0.019544,2.8,-0.06
-0.019542002,2.8,-0.064
-0.01954,2.8,-0.06
-0.019538,2.8,-0.06
-0.019536,2.8,-0.064
-0.019534002,2.8,-0.06
-0.019532,2.8,-0.06
-0.01953,2.8,-0.06
-0.019528,2.8,-0.06
-0.019526002,2.8,-0.06
-0.019524,2.8,-0.064
-0.019522,2.8,-0.064
-0.01952,2.8,-0.06
-0.019518002,2.8,-0.064
-0.019516,2.8,-0.064
-0.019514,3.2,-0.064
-0.019512,2.8,-0.064
-0.019510002,2.8,-0.064
-0.019508,2.8,-0.064
-0.019506,3.2,-0.064
-0.019504,3.2,-0.064
-0.019502002,3.2,-0.064
-0.0195,3.2,-0.064
-0.019497998,3.2,-0.064
-0.019496,3.2,-0.064
-0.019493998,3.6,-0.064
-0.019491998,3.6,-0.064
-0.019489998,3.2,-0.064
-0.019488,3.6,-0.064
-0.019485998,3.6,-0.064
-0.019483998,3.2,-0.064
-0.019481998,3.6,-0.064
-0.01948,3.6,-0.064
-0.019477998,3.2,-0.064
-0.019475998,3.6,-0.064
-0.019473998,3.2,-0.064
-0.019472,3.6,-0.064
-0.019469998,3.2,-0.064
-0.019467998,3.6,-0.064
-0.019465998,3.6,-0.064
-0.019463998,3.6,-0.068
-0.019461998,3.6,-0.064
-0.019459998,3.6,-0.064
-0.019458,3.6,-0.064
-0.019455998,3.2,-0.068
-0.019453998,3.6,-0.064
-0.019451998,4,-0.064
-0.01945,3.6,-0.068
-0.019447998,3.6,-0.068
-0.019445998,3.6,-0.068
-0.019443998,3.6,-0.072
-0.019442,3.6,-0.068
-0.019439998,3.6,-0.068
-0.019437998,3.6,-0.068
-0.019435998,3.6,-0.068
-0.019434,3.6,-0.072
-0.019431998,3.6,-0.072
-0.019429998,3.6,-0.072
-0.019427998,3.6,-0.072
-0.019426,4,-0.072
-0.019423998,4,-0.072
-0.019421998,4,-0.068
-0.019419998,3.6,-0.072
-0.019418,4,-0.072
-0.019415998,4,-0.072
-0.019413998,4,-0.072
-0.019411998,4,-0.072
-0.01941,4,-0.072
-0.019407998,4.4,-0.072
-0.019405998,4,-0.072
-0.019403998,4,-0.072
-0.019401998,4.4,-0.072
-0.019399998,4,-0.072
-0.019397998,4,-0.072
-0.019396,4,-0.072
-0.019393998,4.4,-0.072
-0.019391998,4.4,-0.072
-0.019389998,4.4,-0.072
-0.019388,4.4,-0.072
-0.019385998,4.4,-0.072
-0.019383998,4.4,-0.072
-0.019381998,4.4,-0.072
-0.01938,4.4,-0.072
-0.019377998,4.4,-0.076
-0.019375998,4.4,-0.072
-0.019373998,4.4,-0.072
-0.019372,4.4,-0.076
-0.019369998,4.4,-0.076
-0.019367998,4.4,-0.076
-0.019365998,4.4,-0.076
-0.019364,4.4,-0.076
-0.019361998,4.4,-0.076
-0.019359998,4.4,-0.076
-0.019358,4.4,-0.076
-0.019356,4.4,-0.076
-0.019353998,4.4,-0.076
-0.019351998,4.8,-0.076
-0.01935,4.4,-0.076
-0.019348,4.8,-0.076
-0.019345998,4.4,-0.08
-0.019343998,4.4,-0.076
-0.019342,4.4,-0.076
-0.019339998,4.4,-0.076
-0.019337998,4.8,-0.08
-0.019335998,4.4,-0.08
-0.019334,4.4,-0.076
-0.019331998,4.4,-0.08
-0.019329998,4.8,-0.08
-0.019327998,4.8,-0.08
-0.019326,4.8,-0.08
-0.019323998,4.8,-0.08
-0.019321998,4.8,-0.08
-0.019319998,4.8,-0.08
-0.019318,4.8,-0.08
-0.019315998,4.8,-0.08
-0.019313998,5.2,-0.08
-0.019311998,5.2,-0.08
-0.01931,4.8,-0.08
-0.019307998,5.2,-0.08
-0.019305998,5.2,-0.08
-0.019303998,5.2,-0.08
-0.019302,5.2,-0.08
-0.019299998,5.2,-0.08
-0.019297998,5.2,-0.08
-0.019296,5.2,-0.08
-0.019294,5.2,-0.08
-0.019291998,5.2,-0.08
-0.019289998,5.2,-0.08
-0.019288,5.2,-0.08
-0.019286,5.2,-0.08
-0.019283998,5.2,-0.08
-0.019281998,5.2,-0.08
-0.01928,5.2,-0.084
-0.019277998,5.6,-0.08
-0.019275998,5.6,-0.084
-0.019273998,5.6,-0.084
-0.019272,5.2,-0.084
-0.019269998,5.6,-0.084
-0.019267998,5.6,-0.084
-0.019265998,5.6,-0.084
-0.019264,5.6,-0.084
-0.019261998,5.6,-0.084
-0.019259998,5.6,-0.084
-0.019258,5.6,-0.084
-0.019256,5.6,-0.084
-0.019253998,5.6,-0.084
-0.019251998,5.6,-0.084
-0.01925,5.6,-0.084
-0.019248,5.6,-0.084
-0.019245998,5.6,-0.084
-0.019243998,5.6,-0.084
-0.019242,5.6,-0.084
-0.01924,5.6,-0.084
-0.019237998,5.6,-0.084
-0.019235998,5.6,-0.084
-0.019234,6,-0.084
-0.019232,5.6,-0.084
-0.019229998,5.6,-0.084
-0.019227998,6,-0.084
-0.019226,6,-0.084
-0.019224,6,-0.084
-0.019221998,6,-0.084
-0.019219998,6,-0.084
-0.019218,6,-0.084
-0.019215998,6,-0.084
-0.019213998,6,-0.084
-0.019211998,6,-0.084
-0.01921,6,-0.084
-0.019207998,6,-0.084
-0.019205998,6,-0.084
-0.019203998,6,-0.084
-0.019202,6,-0.084
-0.019199998,6,-0.088
-0.019197998,6,-0.084
-0.019196,6,-0.084
-0.019194,6,-0.088
-0.019191998,6,-0.088
-0.019189998,6,-0.088
-0.019188,6,-0.088
-0.019186,6,-0.088
-0.019183998,6,-0.088
-0.019181998,6.4,-0.088
-0.01918,6,-0.088
-0.019178,6,-0.088
-0.019175998,6.4,-0.088
-0.019173998,6,-0.088
-0.019172,6,-0.088
-0.01917,6.4,-0.088
-0.019167998,6,-0.088
-0.019165998,6.4,-0.092
-0.019164,6.4,-0.092
-0.019162,6,-0.088
-0.019159998,6.4,-0.088
-0.019158,6.4,-0.092
-0.019156,6.4,-0.088
-0.019153998,6.4,-0.088
-0.019151998,6.4,-0.092
-0.01915,6.4,-0.092
-0.019148,6.8,-0.092
-0.019145998,6.4,-0.092
-0.019143998,6.4,-0.092
-0.019142,6.8,-0.092
-0.01914,6.4,-0.092
-0.019137998,6.8,-0.092
-0.019135998,6.4,-0.092
-0.019134,6.8,-0.088
-0.019132,6.8,-0.092
-0.019129998,6.8,-0.092
-0.019127998,6.8,-0.092
-0.019126,6.4,-0.092
-0.019124,6.8,-0.092
-0.019121998,6.8,-0.092
-0.019119998,6.8,-0.092
-0.019118,6.8,-0.092
-0.019116,6.8,-0.092
-0.019113998,6.8,-0.092
-0.019111998,6.8,-0.092
-0.01911,6.8,-0.092
-0.019108,6.8,-0.096
-0.019105998,6.8,-0.092
-0.019103998,6.8,-0.092
-0.019102,6.8,-0.096
-0.0191,6.8,-0.092
-0.019097998,7.2,-0.1
-0.019096,7.6,-0.096
-0.019094,7.2,-0.096
-0.019091998,7.6,-0.1
-0.019089998,7.2,-0.096
-0.019088,7.2,-0.096
-0.019086,7.2,-0.092
-0.019083998,7.6,-0.1
-0.019081998,7.2,-0.1
-0.01908,7.6,-0.1
-0.019078,7.6,-0.1
-0.019075998,7.2,-0.1
-0.019073998,7.2,-0.1
-0.019072,7.2,-0.1
-0.01907,7.6,-0.1
-0.019067998,7.6,-0.1
-0.019065998,7.6,-0.1
-0.019064,7.6,-0.1
-0.019062,7.2,-0.1
-0.019059998,7.6,-0.1
-0.019058,7.6,-0.1
-0.019056,7.6,-0.096
-0.019054,7.6,-0.1
-0.019051998,7.6,-0.1
-0.01905,7.6,-0.1
-0.019048,7.6,-0.1
-0.019046,7.6,-0.1
-0.019043998,7.6,-0.1
-0.019042,7.6,-0.1
-0.01904,7.6,-0.1
-0.019037998,7.6,-0.1
-0.019035998,7.6,-0.1
-0.019034,7.6,-0.1
-0.019032,7.6,-0.1
-0.019029998,7.6,-0.1
-0.019027998,7.6,-0.1
-0.019026,7.6,-0.1
-0.019024,7.6,-0.1
-0.019021998,7.6,-0.1
-0.019019998,7.6,-0.104
-0.019018,7.6,-0.104
-0.019016,8,-0.1
-0.019013998,8,-0.104
-0.019011998,8,-0.104
-0.01901,7.6,-0.104
-0.019008,8,-0.1
-0.019005998,8,-0.1
-0.019003998,8,-0.104
-0.019002,8,-0.104
-0.019,7.6,-0.104
-0.018997998,8,-0.104
-0.018996,8,-0.104
-0.018994,8,-0.104
-0.018992,8,-0.104
-0.018989998,8,-0.104
-0.018988,8,-0.104
-0.018986,8,-0.104
-0.018984,8,-0.108
-0.018981998,8,-0.108
-0.01898,8,-0.108
-0.018978,8,-0.108
-0.018975998,8,-0.104
-0.018973998,8,-0.104
-0.018972,8,-0.108
-0.01897,8,-0.108
-0.018967998,8,-0.108
-0.018965998,8,-0.108
-0.018964,8,-0.108
-0.018962,8,-0.108
-0.018959998,8,-0.108
-0.018958,8,-0.108
-0.018956,8,-0.108
-0.018954,8,-0.108
-0.018951998,8.4,-0.108
-0.01895,8.4,-0.108
-0.018948,8.4,-0.108
-0.018946,8.4,-0.108
-0.018943998,8.4,-0.108
-0.018942,8.4,-0.108
-0.01894,8.4,-0.108
-0.018938,8.4,-0.108
-0.018935998,8.4,-0.108
-0.018934,8.4,-0.108
-0.018932,8.4,-0.108
-0.01893,8.4,-0.108
-0.018927998,8.4,-0.108
-0.018926,8.4,-0.112
-0.018924,8.4,-0.108
-0.018922,8.4,-0.112
-0.018919998,8.8,-0.112
-0.018918,8.4,-0.112
-0.018916,8.4,-0.112
-0.018913998,8.4,-0.112
-0.018911998,8.8,-0.112
-0.01891,8.4,-0.112
-0.018908,8.4,-0.112
-0.018905998,8.8,-0.112
-0.018903998,8.8,-0.112
-0.018902,8.8,-0.112
-0.0189,8.8,-0.112
-0.018897998,8.8,-0.112
-0.018896,8.8,-0.116
-0.018894,8.8,-0.112
-0.018892,8.8,-0.116
-0.018889998,8.8,-0.112
-0.018888,8.8,-0.116
-0.018886,8.8,-0.112
-0.018884,8.8,-0.116
-0.018881998,8.8,-0.116
-0.01888,8.8,-0.116
-0.018878,8.8,-0.116
-0.018876,8.8,-0.116
-0.018873998,8.8,-0.116
-0.018872,8.8,-0.116
-0.01887,8.8,-0.116
-0.018868,8.8,-0.116
-0.018865998,8.8,-0.116
-0.018864,8.8,-0.116
-0.018862,8.8,-0.116
-0.01886,8.8,-0.116
-0.018858,8.8,-0.116
-0.018856,8.8,-0.116
-0.018854,8.8,-0.116
-0.018851998,8.8,-0.116
-0.01885,8.8,-0.116
-0.018848,9.2,-0.116
-0.018846,8.8,-0.116
-0.018843998,9.2,-0.116
-0.018842,8.8,-0.116
-0.01884,8.8,-0.116
-0.018838,9.2,-0.116
-0.018835998,8.8,-0.12
-0.018834,9.2,-0.116
-0.018832,9.2,-0.116
-0.01883,9.2,-0.116
-0.018827998,9.6,-0.12
-0.018826,9.2,-0.12
-0.018824,9.2,-0.12
-0.018822,9.6,-0.12
-0.018819998,9.2,-0.12
-0.018818,9.6,-0.12
-0.018816,9.6,-0.12
-0.018814,9.6,-0.12
-0.018811998,9.6,-0.12
-0.01881,9.6,-0.12
-0.018808,9.6,-0.12
-0.018806,9.6,-0.12
-0.018803998,9.6,-0.12
-0.018802,9.6,-0.12
-0.0188,9.6,-0.124
-0.018798,9.6,-0.124
-0.018796,9.6,-0.12
-0.018794,9.6,-0.12
-0.018792,9.6,-0.124
-0.018789998,9.6,-0.12
-0.018788,9.6,-0.124
-0.018786,10,-0.124
-0.018784,9.6,-0.124
-0.018781998,9.6,-0.124
-0.01878,9.6,-0.124
-0.018778,9.6,-0.124
-0.018776,10,-0.124
-0.018773998,9.6,-0.124
-0.018772,9.6,-0.124
-0.01877,9.6,-0.124
-0.018768,9.6,-0.124
-0.018765998,9.6,-0.124
-0.018764,10,-0.124
-0.018762,10,-0.124
-0.01876,10,-0.124
-0.018758002,10,-0.124
-0.018756,10,-0.124
-0.018754,10,-0.124
-0.018752,10,-0.124
-0.01875,10,-0.124
-0.018748,10,-0.124
-0.018746,10.4,-0.128
-0.018744,10,-0.128
-0.018742,10.4,-0.128
-0.01874,10.4,-0.128
-0.018738,10.4,-0.128
-0.018736,9.6,-0.128
-0.018734,10.4,-0.128
-0.018732,10.4,-0.124
-0.01873,10.4,-0.128
-0.018727998,10,-0.128
-0.018726,10.4,-0.128
-0.018724,10.4,-0.128
-0.018722,10,-0.128
-0.018719998,10.4,-0.128
-0.018718,10.4,-0.128
-0.018716,10.4,-0.128
-0.018714,10.4,-0.128
-0.018711998,10.4,-0.128
-0.01871,10.4,-0.128
-0.018708,10.4,-0.132
-0.018706,10.4,-0.132
-0.018703998,10.4,-0.128
-0.018702,10.4,-0.132
-0.0187,10.4,-0.132
-0.018698,10.4,-0.128
-0.018696002,10.4,-0.132
-0.018694,10.4,-0.132
-0.018692,10.4,-0.132
-0.01869,10.4,-0.132
-0.018688,10.4,-0.128
-0.018686,10.4,-0.132
-0.018684,10.4,-0.132
-0.018682,10.8,-0.132
-0.01868,10.8,-0.132
-0.018678,10.4,-0.132
-0.018676,10.4,-0.132
-0.018674,10.8,-0.132
-0.018672,10.4,-0.132
-0.01867,10.4,-0.132
-0.018668,10.4,-0.132
-0.018665998,10.8,-0.132
-0.018664,10.8,-0.132
-0.018662,10.8,-0.132
-0.01866,10.8,-0.132
-0.018658002,10.8,-0.132
-0.018656,10.8,-0.132
-0.018654,10.8,-0.132
-0.018652,11.2,-0.136
-0.018650002,11.2,-0.136
-0.018648,10.8,-0.132
-0.018646,11.2,-0.136
-0.018644,11.2,-0.132
-0.018642002,11.2,-0.136
-0.01864,11.2,-0.136
