X,CH1
Second,Volt,
-2.19e-03,-8.80e-01
-2.18e-03,-9.00e-01
-2.18e-03,-8.80e-01
-2.18e-03,-8.60e-01
-2.17e-03,-8.60e-01
-2.17e-03,-8.60e-01
-2.16e-03,-8.00e-01
-2.16e-03,-8.20e-01
-2.16e-03,-7.80e-01
-2.15e-03,-7.60e-01
-2.15e-03,-8.00e-01
-2.14e-03,-7.40e-01
-2.14e-03,-7.20e-01
-2.14e-03,-7.20e-01
-2.13e-03,-7.00e-01
-2.13e-03,-6.40e-01
-2.12e-03,-7.00e-01
-2.12e-03,-6.40e-01
-2.12e-03,-6.40e-01
-2.11e-03,-6.00e-01
-2.11e-03,-6.00e-01
-2.10e-03,-5.80e-01
-2.10e-03,-5.60e-01
-2.10e-03,-5.20e-01
-2.09e-03,-5.00e-01
-2.09e-03,-5.00e-01
-2.08e-03,-4.80e-01
-2.08e-03,-4.40e-01
-2.08e-03,-4.20e-01
-2.07e-03,-4.00e-01
-2.07e-03,-3.60e-01
-2.06e-03,-3.60e-01
-2.06e-03,-3.00e-01
-2.06e-03,-2.80e-01
-2.05e-03,-2.60e-01
-2.05e-03,-2.40e-01
-2.04e-03,-2.60e-01
-2.04e-03,-1.80e-01
-2.04e-03,-1.60e-01
-2.03e-03,-1.80e-01
-2.03e-03,-1.40e-01
-2.02e-03,-6.00e-02
-2.02e-03,-7.99e-02
-2.02e-03,-6.00e-02
-2.01e-03,-4.00e-02
-2.01e-03,-2.00e-02
-2.00e-03,2.00e-02
-2.00e-03,4.00e-02
-2.00e-03,7.99e-02
-1.99e-03,7.99e-02
-1.99e-03,1.40e-01
-1.98e-03,1.20e-01
-1.98e-03,1.40e-01
-1.98e-03,1.80e-01
-1.97e-03,2.20e-01
-1.97e-03,2.40e-01
-1.96e-03,2.80e-01
-1.96e-03,2.80e-01
-1.96e-03,3.20e-01
-1.95e-03,3.40e-01
-1.95e-03,3.40e-01
-1.94e-03,4.00e-01
-1.94e-03,3.80e-01
-1.94e-03,4.20e-01
-1.93e-03,4.20e-01
-1.93e-03,4.60e-01
-1.92e-03,4.80e-01
-1.92e-03,5.00e-01
-1.92e-03,5.20e-01
-1.91e-03,5.40e-01
-1.91e-03,6.00e-01
-1.90e-03,6.00e-01
-1.90e-03,6.00e-01
-1.90e-03,6.40e-01
-1.89e-03,6.40e-01
-1.89e-03,6.60e-01
-1.88e-03,6.80e-01
-1.88e-03,7.20e-01
-1.88e-03,7.20e-01
-1.87e-03,7.60e-01
-1.87e-03,7.40e-01
-1.86e-03,7.60e-01
-1.86e-03,7.60e-01
-1.86e-03,7.80e-01
-1.85e-03,8.00e-01
-1.85e-03,8.00e-01
